DEP_ID,DEP_NAME,DEP_DES,DEP_LOC
DEP0001,Cardiology,Cardiology Department,"Block A, Floor 1"
DEP0002,Neurology,Neurology Department,"Block B, Floor 2"
DEP0003,Orthopedics,Orthopedics Department,"Block C, Floor 3"
DEP0004,Pediatrics,Pediatrics Department,"Block D, Floor 1"
DEP0005,Obstetrics,Obstetrics Department,"Block E, Floor 2"
DEP0006,Oncology,Oncology Department,"Block A, Floor 3"
DEP0007,Emergency,Emergency Department,"Block B, Floor 1"
DEP0008,ICU,ICU Department,"Block C, Floor 2"
DEP0009,Radiology,Radiology Department,"Block D, Floor 3"
DEP0010,Pathology,Pathology Department,"Block E, Floor 1"
DEP0011,Surgery,Surgery Department,"Block A, Floor 2"
DEP0012,Internal Medicine,Internal Medicine Department,"Block B, Floor 3"
DEP0013,Psychiatry,Psychiatry Department,"Block C, Floor 1"
DEP0014,Dermatology,Dermatology Department,"Block D, Floor 2"
DEP0015,ENT,ENT Department,"Block E, Floor 3"
DEP0016,Ophthalmology,Ophthalmology Department,"Block A, Floor 1"
DEP0017,Urology,Urology Department,"Block B, Floor 2"
DEP0018,Gastroenterology,Gastroenterology Department,"Block C, Floor 3"
DEP0019,Pulmonology,Pulmonology Department,"Block D, Floor 1"
DEP0020,Rheumatology,Rheumatology Department,"Block E, Floor 2"
